,left,right,convergence,bladder_mid,sb_cr,size_sb,mouth_area,mouth_cr
113,20.7719449424,11.9780689115,32.7500138539,60.4138559848,0.024264483451,349.5,299.5,-0.4
114,20.785453063,12.8214329939,33.6068860569,60.4712754018,-0.0142487282867,350.5,298.0,-0.4
115,20.2378467036,13.7039042823,33.9417509859,60.4030539646,-0.0148743363072,348.0,297.0,-0.2
116,20.0624251354,12.8776509007,32.9400760361,60.4353141881,-0.0148607442666,346.0,296.0,-0.7
117,20.5970805631,12.3828851591,32.9799657223,60.5351784021,-0.0269354726275,349.0,297.5,-1.2
118,20.9473941457,12.3671607626,33.3145549082,60.4000317604,-0.0130371373288,348.0,296.0,-0.3
119,20.9395936709,11.8857724882,32.8253661591,60.3286822831,0.0244419973133,350.5,296.0,0.0
120,20.5304134688,12.1774275789,32.7078410477,60.3610104667,0.0141011206304,347.5,292.5,2.0
121,20.2627981406,13.009420582,33.2722187225,60.4005010389,0.00340361198826,352.5,291.5,2.1
122,20.8339062908,13.0951321459,33.9290384368,60.3348460737,0.00528502092078,347.5,294.5,1.2
123,21.1787373562,12.735911959,33.9146493152,60.4508922696,0.0109245773493,354.0,296.0,0.0
124,20.3859261275,12.0350705699,32.4209966973,60.4315160699,-0.011986734024,351.5,302.5,-1.0
125,20.3107751293,12.5281251191,32.8389002483,60.4175190989,-0.0162757708841,350.0,302.0,-0.9
126,20.9309572677,12.4457481857,33.3767054534,60.3612711783,-0.00365040443374,350.0,300.5,-0.4
127,20.7798993224,12.1122916881,32.8921910105,60.5055151564,-0.0219149485377,345.5,296.0,0.5
128,21.3033160459,12.3078202612,33.6111363071,60.3715823998,-0.00393420251781,350.0,297.5,0.0
129,21.8334677399,11.9353916216,33.7688593615,60.3361402444,-0.00688596008847,349.5,297.5,-0.5
130,21.2969470809,11.7995812903,33.0965283712,60.3430191562,0.0159634961525,350.5,298.5,-0.7
131,21.7338142873,11.9056602707,33.6394745579,60.3959404137,0.00267912432857,352.5,298.5,-0.7
132,20.6240672412,11.8981698483,32.5222370894,60.3519113872,0.0174846438403,351.0,297.5,-0.3
133,20.2739128322,12.3726569614,32.6465697936,60.301710444,0.0169253788692,351.0,295.0,1.2
134,20.7122347105,12.8998165142,33.6120512248,60.4228366369,0.00181495044601,345.5,295.0,1.4
135,20.5214438289,13.2387748134,33.7602186422,60.4093360353,-0.0154158097088,349.0,295.0,1.3
136,20.4413082209,13.3547480867,33.7960563076,60.4393346064,-0.00889910940645,353.5,296.0,0.7
137,20.9802439435,12.3857556952,33.3659996387,60.3863373383,-0.00992448091824,348.0,301.0,-0.7
138,20.587854388,12.2011850655,32.7890394534,60.4319113892,-0.0255483182675,349.5,302.0,-1.4
139,20.9259797787,12.0654952403,32.991475019,60.3322569868,-0.0035636921668,347.5,301.5,-1.1
140,20.9032287102,13.2295537467,34.132782457,60.3948390594,-0.0193946935199,352.5,299.5,-0.6
141,22.2365674413,11.8089283325,34.0454957737,60.3367149338,-0.00699079039836,353.0,297.5,0.1
142,20.8641577795,12.1949097669,33.0590675465,60.3041697978,0.0112891810694,352.0,295.0,0.7
143,20.8904752087,12.2108532215,33.1013284301,60.314438526,0.0197568614813,351.5,296.0,0.2
144,20.1800366919,12.4837921127,32.6638288045,60.2978655918,0.010996794474,349.5,296.5,-0.1
145,20.1665056576,12.5237394863,32.6902451439,60.3017609818,0.0258803078774,354.0,298.0,-0.6
146,20.7078242236,12.9014786349,33.6093028585,60.3606157032,-0.00792090584582,352.5,298.5,-0.5
147,21.101795104,12.254116515,33.355911619,60.4132228334,0.00823985096556,350.5,297.0,-0.4
148,20.4254633599,12.7530295216,33.1784928815,60.3528495641,0.0166296288378,349.0,296.0,0.0
149,20.6559961406,12.7202399222,33.3762360628,60.4311625212,0.000859485028123,349.0,295.0,1.3
150,19.8066056708,12.5728492353,32.3794549062,60.321011174,0.0325335428202,350.5,296.0,1.2
151,19.5459659768,12.9366760269,32.4826420037,60.4544220882,-0.0101838345948,347.0,295.0,0.8
152,20.6853352353,12.8597719233,33.5451071586,60.4359977083,-0.0445515601585,348.5,296.0,0.1
153,21.0159956465,12.0044131821,33.0204088286,60.4354599463,-0.0555225814292,351.5,301.5,-1.5
154,20.965711244,11.6951155639,32.6608268079,60.4836788881,-0.0388122934285,352.0,302.0,-1.5
155,20.7532058025,12.9662308495,33.719436652,60.4035029152,-0.00332624008406,352.5,299.0,-0.2
156,20.9208006345,12.0163457811,32.9371464157,60.2132399075,0.046230267279,354.5,296.5,1.0
157,19.5353494897,11.3008069188,30.8361564085,60.1578470391,0.0378462496478,356.0,294.0,1.0
158,20.5126548777,12.1703606269,32.6830155045,60.2896174209,0.00877114455539,352.5,294.5,0.5
159,21.0107674829,12.6647255304,33.6754930133,60.3868717148,0.0357655095819,350.5,298.0,-0.6
160,20.2434152727,11.9361642315,32.1795795042,60.4443912439,0.00526553491715,353.5,301.5,-1.3
161,19.956470009,12.8032104894,32.7596804984,60.3470782874,0.0164184881858,351.5,299.0,-0.6
162,20.1069280861,12.5779058915,32.6848339776,60.3334731437,0.0277377147726,348.5,297.0,0.2
163,20.7924903172,12.8092092353,33.6016995525,60.5656992627,-0.0355210282996,352.0,295.0,1.0
164,20.3538364924,12.7668054067,33.1206418991,60.4707189185,-0.0373048816213,350.0,295.0,0.9
165,20.1676863782,12.2748348901,32.4425212683,60.4291707283,-0.0215140175652,351.0,296.0,0.3
166,20.1869137794,12.6202508406,32.80716462,60.4721617175,-0.0496026045085,352.0,298.0,0.6
167,21.0843553307,12.2587584799,33.3431138106,60.3880941212,-0.00925520018382,352.0,300.0,-0.4
168,19.9043336252,13.0326995438,32.9370331691,60.2841945104,0.0224807107649,354.0,299.5,-0.5
169,20.1067827829,12.7285912946,32.8353740775,60.3216006405,0.0207302236904,355.0,297.5,0.2
170,21.4176301436,11.9081493511,33.3257794947,60.224148695,0.0305257195168,351.0,301.0,-0.8
171,20.4063865578,12.9845595794,33.3909461373,60.3418181203,-0.00168287273405,350.5,298.0,-0.2
172,20.9617652824,12.2359276427,33.1976929252,60.3965980642,-0.00208356149507,352.5,297.0,0.0
173,20.8794346419,12.6127766733,33.4922113151,60.4252517589,0.00922358278177,349.0,298.5,-0.3
174,20.6142183289,12.5470751321,33.161293461,60.3767772926,0.00628108896862,348.0,297.0,-0.4
175,20.2041807923,12.7745648889,32.9787456812,60.3334037566,0.0226051398006,355.5,297.0,-0.4
176,20.2381511473,12.3076394369,32.5457905842,60.3861802567,0.00551127649269,349.0,297.0,-0.4
177,20.3367047935,12.5278129395,32.864517733,60.4713696729,-0.0175196350377,348.5,297.0,0.1
178,20.0926890896,12.8857510706,32.9784401602,60.4081827374,0.000271246205577,349.0,295.0,0.6
179,21.0963737931,13.4001723105,34.4965461036,60.4464294556,-0.012154400148,344.5,295.0,0.7
180,19.7468548498,12.9697067685,32.7165616183,60.4137366392,-0.0161932177395,345.5,295.0,0.7
181,20.4832414136,12.3151050438,32.7983464574,60.3837714977,0.00443464277902,351.5,297.5,0.0
182,21.2497961284,11.8805389307,33.1303350592,60.4095389685,0.00749435723968,350.0,298.0,-0.1
183,19.8254055636,12.9739026281,32.7993081917,60.3856574549,-0.0183368531733,353.0,298.5,-0.3
184,20.6548778707,12.7599556385,33.4148335092,60.3327705505,0.00536423920749,353.5,298.5,-0.3
185,21.2874177871,11.8526233911,33.1400411782,60.4059447116,0.00109761007571,350.5,297.5,-0.1
186,20.5023334286,12.2076706012,32.7100040297,60.4470107547,-6.85384819079e-05,349.0,297.5,-0.1
187,20.2834760857,12.7815720182,33.0650481039,60.293973189,0.0133970509287,351.0,297.0,-0.4
188,20.7637030788,12.2575543404,33.0212574192,60.3595917465,-0.00917138730485,352.0,297.0,-0.7
189,19.9210828205,12.7909691958,32.7120520163,60.4114327619,-0.0139668029667,351.5,297.0,-0.7
190,20.6082758886,12.5119343395,33.1202102282,60.4466680623,-0.0100002383539,347.0,297.0,-0.7
191,20.2189758617,13.1620722762,33.3810481379,60.3609584437,0.01682893969,348.5,295.0,0.2
192,20.2981718026,12.5718912757,32.8700630783,60.31373481,0.0202387972706,350.5,293.5,1.4
193,20.2160408153,12.200580013,32.4166208283,60.3415987471,0.00280540241655,350.5,293.5,1.8
194,20.8625476001,12.8225844605,33.6851320606,60.3966668705,-0.0115902031915,349.0,293.5,1.6
195,20.1796746536,13.0958022846,33.2754769382,60.4451031421,-0.0184430071932,347.5,296.0,0.8
